Key,ko,jp,en
q2.22,여기에 씨앗을 심을까?,ここに種を植えようかな？,Should I plant seeds here?
q2.23,씨앗을 잘 묻어 주었다.,種をしっかり埋めてくれた。,I buried the seeds well.
q2.24,"금방 끝냈구나! 수고했어, 니코~ ",あっという間に終わったね！お疲れさま、ニッコ～,"You finished quickly! Good job, Nico~"
q2.25,이제 됐심꺼?,もういいでしょ？,Is it done now?
q2.26,응? 당연히 씨앗이 깨어날 수 있게 물도 줘야지!,え？ もちろん、種が目覚めるように水もあげないとね！,Huh? Of course you need to water them so the seeds can sprout!
q2.27,아 맞지예..고럼 물뿌리개 좀 줘 보이소.,あ、わかりました。 じゃあ、水撒き器ください。,Ah right.. then please give me a watering can.
q2.28,"으응, 그래야 되는데, 그게 말이지~",うーん、そうなんだけどね、それが～,"Yes, that's what we need to do, but the thing is~"
q2.29,(뭐고 이 불길한 기분은..),(何だこの不吉な感じは...),(I have a bad feeling about this...)
q2.30,아침에 엄마가 밭에 물을 주다가 그만 나무뿌리에 걸려 넘어졌는데,朝、お母さんが畑に水をやろうとしたら、木の根に引っ掛かって転んでしまったんだ。,This morning I was watering the field and tripped over a tree root
q2.31,물뿌리개 주둥이가 똑! 떨어졌지 뭐야?,そうしたら、スプリンクラーの注ぎ口がポキッと落ちたんだ。,The watering can spout broke right off!
q2.32,그래서 울프우드한테 수리를 맡겼는데,それでウルフウッドに修理を頼んだんだけど、,So I asked Wolfwood to fix it
q2.33,집에 없는 재료가 필요하다면서 들고나가버렸어!,家にない材料が必要だと言って持って行ってしまった！,He said he needed materials we don't have at home and took it away!
q2.33.1,슬픈 예감은 왜 틀리질 않는기가..,悲しい予感はなぜ当たらないのか...。,Why are my worst hunches always right…?
q2.33.2,응? 니코 뭐라고 했어?,え？ ニコちゃん何て言ったの？,Huh? What did you say Nico?
q2.33.3,"아, 아입니더. 그럼 아부지는예?",あ、いいえ。じゃあお父さんはどこ？,"Oh, nothing. Then where is father?"
q2.34,울프우드는 아마 마을로 갔을 거야! 한 번 찾아가봐!,ウルフウッドはたぶん村に行ってるはずよ！ 一度行ってみてね！,Wolfwood probably went to the village! Go look for him!
q2.35,예.. 다녀올께예.,はい。行ってくるね。,Yes.. I'll go and come back.
q2.35.1,연못에 가재를 키우는 거 어떻게 생각해?,池にザリガニを飼うってどう思う？,What do you think about raising crayfish in the pond?
q2.35.2,가재? 왜 갑자기 가재를 키우고 싶어진건데예..?,ザリガニ？ なぜ急にザリガニを飼いたくなったんだ...,Crayfish? Why do you suddenly want to raise crayfish..?
q2.35.3,그야 빨갛고..,だって赤だし...,Well they're red..
q2.35.4,…,...,…
q2.35.5,빨간색이고,赤だし,And they're red
q2.35.6,… … …,... ... ...,… … …
q2.35.7,빨간색이니까?,赤だから？,Because they're red?
q2.35.8,어무이 가재는 익혀야 색이 빨개지는 거 알지예?,お母さん、ザリガニは火を通さないと色が赤くならないって知ってるでしょ？,"Mom, crayfish only turn red when cooked, you know?"
q2.35.9,…!!?,...!!!,…!!?
q2.36,이상하다… 분명 여기서 잃어버렸는데..,変だ...確かここで失くしたはずなんだけど...,Weird… I definitely lost it here...
q2.37,…?,...?,…?
q2.37.1,빗자루 니 여서 뭐 하나?,ほうきんちゃん、ここで何してるの？,"Spikey, what are you doing here?"
q2.38,꺄아아악!,きゃあああああああ！,Kyaaah!
q2.39,"아따, 와 소리를 지르고 그르노!",いや、何で怒鳴ってるんだよ！,"Geez, why are you screaming!"
q2.40,"ㅁ,미안.. 니콜라스인줄 몰랐어..",ごめん。ニコラスとは知らなかったよ...,S-sorry.. I didn't know it was you...
q2.46,그래서 뭐 하고 있는데? 뭐 잃어뿟나.,で、何してるの？ 何を失くしたの？,So what are you doing? Did you lose something?
q2.47," 으응, 어제 여기 근처에서 소중한 걸 잃어버려서..",うーん、昨日ここの近くで大事なものを失くしてしまって...。," Yes, I lost something precious around here yesterday.."
q2.48,뭔데?,大切なもの？,What is it?
q2.49,… … …,… … …,… … …
q2.50,..펜던트 목걸이야.,...ペンダントネックレスです。,..A pendant necklace.
q2.51,"내 귀걸이랑 같은 금색에, 좀 낡은..",私のイヤリングと同じ金色で、ちょっと古い...,"The same gold color as my earrings, a bit old.."
q2.52,…마이 아끼는 거가.,...だいぶ大事にしてるのか？,...Is that something you really treasure?
q2.53,응? 으응.. 옛날부터 간직하던 물건이거든.,え？ うん。昔から持っていたものなんだ。,Huh? Yes.. it's something I've treasured since long ago.
q2.54,"니콜라스는 묵묵히 소매를 걷어붙이고, 덤불 속으로 들어간다.",ニコラスは黙って袖を通し、茂みの中に入っていく。,Nicholas silently rolled up his sleeves and entered the bushes.
q2.55,"니,니콜라스..?",ニ、ニコラス...？,N-Nicholas..?
q2.56,와 그라고 있노. 아끼는 거면 찾아야될 거 아이가.,何してるんだ？ 大切なものなら探せばいいだろ。,Don't just stand there. If it's precious we need to find it.
q2.57,"ㅇ,응! 고마워… ",うん！ ありがとう...,Y-yes! Thank you…
q2.58,하…니 진짜 여서 떨군거 맞나?,は...本当にここで震えたのか？,Sigh… did you really drop it here?
q2.59,응… 여기가 맞는데…,うん...ここが正しいんだけど...,Yes… this is the right place…
q2.60,"미안..니콜라스, 나 때문에… ",ごめんね...ニコラス、私のせいで...,"Sorry.. Nicholas, It's because of me..."
q2.61,"ㅇ,와 울고 그르노? 내 화낸거 아이다!",なんで泣いてるの？ 私は怒ってない！,W-why are you crying? I'm not angry!
q2.62,"그치만, 목걸이를 잃어버린 것도, 니콜라스를 고생시킨 것도, 전부 나니까..",でも、ネックレスを失くしたのも、ニコラスを困らせたのも、全部私だから...,"But I'm the one who lost the necklace, I'm the one who made Nicholas suffer, I'm the one who..."
q2.63,니는 쫌 사람이 말을 하면 똑띠 들어라.,お前は人の話をよく聞けよ！,You should listen carefully when someone is talking to you.
q2.64,"잃어뿐건 니지만, 찾아주겠다 해삔건 내다.",失くしたのはお前だけど、探してあげると言ったのは私だ。,"You're the one who lost it, but I'm the one who said I'd find it."
q2.65,그게 와 니 책임인데?,なんでそれがお前の責任なんだよ！,How is that your fault?
q2.66,뭐든지 다 끌어안을라 카지 마라. 그런다꼬 아무도 안 알아준다.,何でもかんでも抱きしめんなよ。そんなことしても誰もわかってくれないよ。,Don't try to take responsibility for everything. Nobody will appreciate it even if you do.
q2.67,… … …,... ... ...,… … …
q2.67.1,… … … 잖아..,... ... .. わかって..,… … … ciates it..
q2.68,뭐?,何？,What?
q2.69,니콜라스는 알아주잖아…,ニコラスはわかってくれるじゃん...,You appreciates it.
q2.70,"…!! ㅁ,뭐라카노?! 내가 언제?!",...!!! え、何？俺がいつ？,…!! W-what are you saying?! When did I?!
q2.71,므오옹-,ニャー～,Meow-
q2.72,? 울 집서 밥 묵는 굉이가 와 여있노.,うちの家でご飯食べてる猫がなんでここにいるの？,What’s that cat that always comes to my house for food doing here?
q2.73,"앗, 저거..! 내 목걸이!",あ、あれ......あれ......！私の首輪！,"Oh, that..! My necklace!"
q2.74,맞나!? 저 잡아라!,本当に！？あいつを捕まえろ！,Really?! Catch that cat!
q2.75,거기 서 - !!,あそこに立ってー！,Stop right there - !!
q2.76,….!!!,....!!!,….!!!
q2.77,"아야야.. 니콜라스, 괜찮아…?",うわっ...。ニコラス、大丈夫...？,"Ouch.. Nicholas, are you okay...?"
q2.78,"…ㄴ,니..니..!!!!!!!",...な、お前、お前...!!!!!!!,…Y-you..you..!!!!!!!
q2.79,응..?,うん...？,Eh..?
q2.80,둘이 와 그라고 있노?,二人で何してたの？,Why are you two like this?
q2.81,"ㅇ,울프우드씨! 그 고양이..!!",ウルフウッドさん！ あの猫...！,"Oh, Mr. Wolfwood! That cat..!!"
q2.82,아~ 야가 또 뭘 물고 왔고 마.,あ～、こいつまた何か噛んできたね。,Ah~ That one brought something again.
q2.83,목걸이? 어서 째 빈 거 아이제? 안에 뭐가 든갑다.,首輪？ どこから盗んだのか？ ああ、中身が入ってるね。,"A necklace? You didn’t steal it from somewhere, did you? There's something inside."
q2.84,"ㅇ,우,울프우드씨!! 잠ㄲ…!",ウ、ウルフウッドさん！！ ちょっと待って...！,"Oh, Mr. W-Wolfwood! Wait a sec...!"
q2.85,마.. 주인이 바로 앞에 있었구먼. 민망 하구로..,オーナーが目の前にいた。... ... ... ... ... ... ...,Well... The owner was right in front of me. How embarrassing..
q2.86,… … … … …,… … … … …,… … … … …
q2.86.1,… ?,… ?,… ?
q2.87,멋대로 손대서 미안타. 여 가가라.,勝手に触ってごめんね。ここに持っていけ。,"Sorry for touching it without permission. Here, take it."
q2.88,"스탬피드는 울프우드의 손에서 펜던트를 낚아챈 뒤, 인사도 없이 사라졌다.",スタンピードはウルフウッドの手からペンダントを奪い、挨拶もなく姿を消した。,Stampede snatched the pendant from Wolfwood's hand and disappeared without saying goodbye.
q2.89,…..? …..??????,.....? .....??????,…..? …..??????
q2.90,내 도와준다 캣지?,俺が助けてくれるって言っただろ？,Didn’t I say I’d help you?
q2.91,"ㄷ,도와주기는 먼..!!!! 물뿌리개나 주이소!!!",助けてくれるってなんだよ...!!!!！スプリンクラーちょうだい!!!,W-what are you talking about?! Just give me the watering can!!!
q2.92,오이야~,そうだ〜,Yeah yeah-
q2.92.1,(야들은 진도가 느린 건지 빠른 건지 모르겠구마.),(この子たちは進度が遅いのか早いのかわからないね〜),(Can’t tell if these kids are moving fast or taking it slow.)
q2.92.2,울프우드로부터 물뿌리개를 받았다. 밧슈에게로 돌아가자!,ウルフウッドからスプリンクラーをもらった。バシューに戻ろう！,Got the watering can from Wolfwood. Let's go back to Vash!
q2.93,니코~ 왜 이렇게 오래 걸렸어?,ニッコ～なんでこんなに時間がかかったの？,Nico~ Why did it take so long?
q2.94,오다가 무슨 일 있었던 거야?,来る途中で何かあったの？,Did something happen on the way?
q2.95,…암 것도 아입니더. 여 물뿌리개 가져왔심더.,...なんでもないよ。 ここに水撒き器持ってきたよ。,"...Nothing happened. Here, I brought the watering can."
q2.96,고마워! 말끔하게 고쳐졌네~,ありがとう！きれいに直ったね～,Thanks! It's completely fixed~
q2.97,인제 물 주면 됩니꺼?,これでゼラニウムに水やればいいんじゃないの？,Should I water it now?
q2.98,"아, 사실 니코가 너무 안 와서…",あ、実はニッコがあんまり来ないから...,"Oh, actually, since you didn't come for so long..."
q2.98.1,… … …,… … …,… … …
q2.98.2,… … … … …,… … … … …,… … … … …
q2.99,내가 다 줘버렸어!,俺が全部あげちゃった！,I already watered them all!
q2.100,………아?,......... あ？,………What?
q2.101,물뿌리개는 여 있는데.. 뭘로…??,散水器はここにあるんだけど...どう...？,The watering can is right here.. what did you use...??
q2.102,"아~ 찾아보니까, 창고에 하나 더 있더라고!",あ～探したら、倉庫にもう一つあった！,Ah~ I looked around and found another one in the storage!
q2.103,…,...,…
q2.104,"에헤헤, 미안…~",えへへ、ごめんね...～,"Ehehe, sorry...~"
q2.105,..마…됐심더… 줬음 됐지예… 하…,...ま...いいんだよ...終わればいいんだよ...ハ...,..Well... it's fine... as long as you watered them... sigh...
q2.106,"(너무 고생시켰나…? 그치만 어쩔 수 없지. 미안해, 니코…!)",(苦労させすぎたかな...？ でも仕方ないね。ごめんね、ニッコ...！),"(Did I make him suffer too much...? But I couldn't help it. Sorry, Nico...!)"
q2.106.1,"자, 자~ 그럼 집에 돌아가자~",さあ、さあ～、家に帰りましょう～,"Come on, come on~ Let's go home~"
q2.107,꽃밭이 넓게 펼쳐진 모습을 상상해 봐~ 황홀하지 않아?,花畑が広々と広がっている姿を想像してみてください～ 恍惚じゃないですか～,Imagine a flower field spreading wide~ Isn't it enchanting?
q2.108,오늘은 밥 값 하는구마. 상으로 빗자루한테 간식 달라하래이.,今日はご飯代だ。ご褒美にトンガリにおやつをくれって。,Today you earned your keep. Ask Spikey for some snacks as a reward.
q3.1,장작 패오기,薪割り,Chopping firewood
q3.2,장작 하는 건 아부지 일이었는데..,薪割りは父親の仕事だったのに...,Chopping firewood was father's job..
q3.3,역시 짬처리 시키는 거 아이가?,やっぱり面倒な仕事を俺にさせるのか？,Aren’t they just going to dump the work on me?
q3.4,일단 숲으로 가볼까.,とりあえず森に行こう,Let's go to the forest first.
q3.5,숲에서 울프우드의 도끼를 찾자,森でウルフウッドの斧を探そう,Let's find Wolfwood's axe in the forest
q3.16,여 어디에 아부지가 쓰는 도끼가 있을긴데…,ここのどこかに父親が使う斧があるはずなのに...。,Father's axe should be somewhere around here...
q3.17,[낡은 도끼]를 얻었다.,[古い斧】を手に入れた。,Obtained [Old Axe].
q3.18,상태가 쫌 삐리한데…,ちょっと調子が悪そうだけど...,The condition is a bit off...
q3.18.1,맨날 쓰는 거니까 괜찮겄지.,いつも使うものだから大丈夫だ。,It's used every day so it should be fine.
q3.19,인제 나무 좀 찾아봐야겄다.,これから切る木を探そう。,Now I need to find some trees.
q3.19.1,숲에서 나무하기,森で薪割り,Chopping trees in the forest
q3.20,어데 힘 좀 써볼까.,どこに力を入れようか？,"Alright, time to flex my muscles."
q3.21,과녁에 맞춰 확인 키를 누르자,的を絞って確認キーを押そう,Press spacebar to hit the target
q3.22,나무에 도끼질을 정확하게 하면 장작을 GET!,木に正確に斧を打ち込むと薪がGET！,If you chop the tree accurately with the axe you GET firewood!
q3.23,휘유~ 시원하게 넘어가는구마.,ぴゅーっと〜かっこよく倒れるね。,Whew~ It falls down nicely.
q3.23.1,여는 더 쓸만한 나무가 없어 보이네.,ここにはこれ以上使えそうな木がなさそうだ。,There don't seem to be any more useful trees here.
q3.23.2,옆에 구역으로 가볼까.,隣のエリアに行ってみよう。,Let's go to the next area.
q3.24,큼.. 손이 삐끗했다 아이가.,ほど。手が痛くなった。,Hmm.. my hand slipped.
q3.25,다시 하면 다를 기다.,もう一度やれば違うだろう。,It'll be different if I try again.
q3.26,이 정도면 됐다. 집에서 제일 가까운 숲에서 패야 나르기 편한께 글로 가야겠다.,このくらいで十分だ。家から一番近い森で叩いて運ぶのが楽な方に行くことにする。,"This should be enough. I should chop in the forest closest to home since it's easier to carry, so I'll go there."
q3.27,후.. 안쪽 숲이라 그런가 나무가 억씨 고마..,ふ。奥の森だからか、木々が茂ってますね...。,Phew.. maybe because it's the inner forest the trees are really tough..
q3.27.1,... ?!!,......！？,... ?!!
q3.27.2,도끼의 손잡이가 부러지며 단면에 손이 긁혔다.,斧の柄が折れ、断面に手を引っかいた。,The axe handle broke and my hand got cut on the broken edge.
q3.28,악..!!!,ウアアッ!!!,Argh..!!!
q3.29,하~씨… 조져뿟네. 손잡이가 어쩐지 삐리하다켰다.,ハンドルがなんか緩いって..,Damn... it's broken. I thought the handle seemed off.
q3.30,"피 봐라, 어무이한테 또 한소리 듣겄다…",血が出てるじゃん、また母に怒られるぞ...。,"Look at this blood, I'm going to get scolded by Vash again..."
q3.31,니콜라스?,ニコラス？,Nicholas?
q3.32,"아, 빗자루.  여서 뭐 하나.",ああ、トンガリ。 ここで何か。,"Oh, Spikey. What are you doing here?"
q3.33,"으응, 블루베리를 따러…",うーん、ブルーベリー狩りに...,"Uh-huh, picking blueberries..."
q3.33.1,"어, 니콜라스?! 손에서 피가..!",え、ニコラス？手から血が..！,"Oh, Nicholas?! Your hand is bleeding..!"
q3.34,괜찮아?! 상처가 너무 큰데…,大丈夫？傷が大きすぎるけど...,Are you okay?! The wound is too big...
q3.35,마…이런 거 침 발라두면 낫는다.,まあ...これくらい唾液を塗っておけば治るよ。,Well... Just spit on it—it’ll be fine.
q3.36,무슨 소리야! 그러다 더 크게 덧나!,何言ってんだ！ そうするともっと大きくなるよ！,What are you saying! It'll get infected even worse!
q3.37,(이래 큰소리 내는 건 또 첨 보네..),(こんなに大声で怒るのは初めて...),(This is the first time I've seen him raise his voice like this..)
q3.38,"ㅁ,맞나…",そうかな？,Y-yeah...
q3.39,손 이리 줘봐.,手を貸して。,Give me your hand.
q3.40,….!!!,....!!!,….!!!
q3.41,급하니까 소독은 집에 가서 하자. 일단 지혈부터…,急いでるから消毒は家に帰ってやろう。とりあえず止血から...,It's urgent so let's disinfect it at home. Let's stop the bleeding...
q3.42,"ㄷ,됐다. 내 알아서…!",ㄷ、できた。俺がやるから...！,I-it's fine. I'll handle it myself...!
q3.43,움직이지 마. 꽉 묶어야 하니까.,動くなよ。スタンピードが力強くニコラスの手にハンカチを結ぶ。,Don't move. I need to tie it tightly.
q3.44,스탬피드가 힘주어 니콜라스 손에 손수건을 묶어준다.,...ハンカチが汚れたから、新しいのを買ってあげるよ。,Stampede firmly ties a handkerchief around Nicholas's hand.
q3.45,…손수건이 이래가 우짜노. 내 하나 새로 사주께.,大丈夫、血はぬるま湯で洗えばすぐ落ちるから。,...The handkerchief got ruined. I'll buy you a new one.
q3.46,괜찮아. 피는 미지근한 물에 빨면 금방 빠지니까.,...後で治ったら、返しに来てね。,It's okay. Blood comes out quickly if I wash it with lukewarm water.
q3.47,"…나중에 다 나으면, 돌려주러 와줘.",...わかったよ。,"...When it's all healed, please come return it."
q3.48,"….ㅇ, 맞나.. …알겠다.",スタンピードは、知らず知らずのうちに密着しすぎたことに気づき、顔を真っ赤にして落ちる。,....Y-yeah.. ...I will.
q3.49,스탬피드는 자신도 모르게 너무 바짝 달라붙었단 걸 깨닫고 얼굴이 붉어져 떨어진다.,スタンピードは自分でも気づかぬうちに密着しすぎたことに気づき、顔を真っ赤にして落ちる。,Stampede realizes he got too close without knowing it and backs away with a red face.
q3.50,"ㄱ,그럼 난 이만 가볼게!",あ、じゃあ俺はもう行くよ！,T-then I'll be going now!
q3.50.1,집가서 깨끗하게 소독해야 해!,家に帰ってきれいに消毒しないと！,You need to go home and disinfect it properly!
q3.51,… … …,... ... ... ... ...,… … …
q3.51.1,장작은 이만하면 됐겠지.,薪はこれくらいでいいかな。,This should be enough firewood.
q3.51.2,나도 슬슬 돌아가 볼까?,私もそろそろ帰ろうかな？,I should probably get back to home.
q3.52,울프우드의 도끼다.,ウルフウッドの斧だ。,It's Wolfwood's axe.
q3.53,"들고 다니는 게 귀찮은 지, 자주 여기에 두고 다니곤 한다.",持ち歩くのが面倒なのか、よくここに置いておくことが多い。,"Maybe because it's bothersome to carry around, he often leaves it here."
q3.54,꽤나 단단해 보이는 나무다.,かなり硬そうな木だ。,It looks like a quite sturdy tree.
q3.55,굳이 이 나무를 벌목하시겠습니까?,わざわざこの木を伐採しますか？,Do you really want to cut down this tree?
q3.56,세상에 안되는 게 어딨나! 남자는 근성과 맷집 아이겠나!!!,この世にダメなものはないでしょう！男は根性と斧!!!,Nothing is impossible in this world! Isn't a man about grit and endurance!!!
q3.57,"아이 뭐, 굳이 사서 고생할 거 없지예.",いや、わざわざ買って苦労する必要はないな。,"Well, there's no need to make trouble for myself."
q3.58,이까이 거 별거 아이고마.,斧なんて大したことないな！,This little thing is nothing.
q3.59,"음, 이 뭐, 그거다. 도끼가 맛이 간기다.",うーん、これは、これだ。斧の刃が錆びてるから。,"Hmm, well, you know. The axe is acting up."
q3.60.1,...지금은 왠지 집에 들어가고 싶지 않다.,...今は何となく家に入りたくない。,"...For some reason, I don't want to go home right now."
q3.60.2,(집 안에서 어떤 소리가 들린다.),(家の中から何か音が聞こえる。),(Some sounds can be heard from inside the house.)
q3.60.3,안 들어간다고.,入れないって。,I'm not going in.
q4.1,물 한잔 마시고 나갈까?,水でも飲んで出ようか？,Should I drink some water before going out?
q4.2,"우루훗도~ 자, 아앙~♥",ウルフウッド～ほら、あ～ん～♥,"Wolfwood~ Give it a try, ahhh~♥"
q4.3,낸 그런 거 안 묵는다.,そんなの食べないよ。,I don't eat that stuff.
q4.4,"왜?! 한 입만 먹어봐, 이번엔 진짜 맛있게 됐다구!",なんで？一口食べてみろよ、今回は本当においしくなったんだ！,"Why?! Just try one bite, this time it really turned out delicious!"
q4.5,안 무봐도 뻔하다.,食べてみないとわからない。,I don't need to eat it to know.
q4.6,어제 밤에 묵은 게 더 맛나가…,昨夜食べた方が美味しいだろうから...,What I ate last night was more delicious...
q4.7,…?! 뭐야! 바보! 에로 목사!,......？何だ！ 愚か者！エロ牧師！,...?! What! Idiot! Perverted priest!
q4.8,(지랄을 하소서…),(くそー...),(Please stop the nonsense...)
q4.9,"큼, 큼…",(咳き込む),"Ahem, ahem..."
q4.10,"ㄴ,니코…~! 뭐 찾아? 엄마가 도와줄까…?!",ニ、ニコ...～?！何探してるの？ ママが手伝おうか...？,N-Nico...~! What are you looking for? Should mom help you...?!
q4.11,아입니더. 하던 거 계속 하이소.,いいえ。今まで通りやってください。,It's nothing. Please continue what you were doing.
q4.12,"오야, 퍼뜩 가서 일해라.",そうだ、お前は早く仕事に行け。,"Okay, you go get to work."
q4.13,"ㄱ, 그런 거 아니야, 니코! 아, 쫌~!!!",あ、そんなことないよ、ニコ！ あ、頼むよ〜！！！,"I-it's not like that, Nico! Oh, come on~!!!"
q4.14,(물이 문제가… 동상이 생길라 카는데…),(水に問題が...弟ができそうだ...),(Drinking water’s no big deal—what really worries me is I might end up with a little brother or sister…)
q4.15,(그냥 연못 물이라도 떠 묵어야겠다.),(池の水を飲むしかないな。),(I'll just have to drink pond water.)
q4.16,울프우드! 너 니콜라스가 보고 있는 거 알고 있었지?!,ウルフウッド！ ニコラスが見てるの知ってたでしょ！！,"Wolfwood! You knew Nicholas was watching, didn't you?!"
q4.17,왜 말 안 해줬어~!! 창피하단 말이야!!,なんで言ってくれなかったの〜！！ 恥ずかしいよ！！！,Why didn't you tell me!! I'm so embarrassed!!
q4.18,… … …,… … …,… … …
q4.19,내는 니가 부끄러워하는 게 좋다,私は君が恥ずかしがり屋なのがいい,I like seeing you embarrassed
q4.20,…!!!,…!!!,…!!!
q4.21,(염병… 더러운 커플들…),(くそ...汚いカップル...),(Damn... disgusting couples...)
s1.1,… … … ….,… … … ….,… … … ….
s1.2,"정말로…, 괜찮겠어?",本当に...、大丈夫かな？,Really... will it be okay?
s1.3,응.,うん。,Yeah.
s1.4,이거면 만족해.,これで満足だ。,I'm satisfied with this.
s1.5,"고맙다, 빗자루.",ありがとう、トンガリ。,"Thank you, Spikey."
s1.6.1,… … … … .,… … … … .,… … … … .
s1.6.2,"자, 술이나 마시자.",さあ、飲もうぜ。,"Come on, let's drink."
s1.6.3,너랑 같이 마시는 것도 오랜만인걸?,君と一緒に飲むのも久しぶりだね。,It's been a while since we drank together.
s1.6.4,… … … .,… … … .,… … … .
s1.7,웃어 빗자루.,笑ってトンガリ。,"Smile, Spikey."
s1.8,"넌 역시…,","君はやっぱり...,",You look better...
s1.9,웃고 있는 모습이 나아.,笑ってる姿の方がいい。,...when you're smile.
s1.10,텅 비었다는 식으로 말한 거 미안하다.,空っぽという言い方でごめんね。,That was a bit harsh. Sorry.
s1.11,… … … … .,… … … … .,… … … … .
s1.12,저기,あのね,Um...
s1.13,울프우드… … .,ウルフウッド... ... ...,Wolfwood... .
s1.14,쓸데없는 소리 하지 마… .,無駄なこと言うなよ... ... ...,Please don't... say anything stupid...
s1.15,이상한 남자를 만났다.,奇妙な男に出会った,I met a strange man.
s1.16,"이제야 좀 마음이 통하나 싶으면,",やっと心が通じるかと思えば、,"Every time I start to feel as though he and I are finally on the same wavelength,"
s1.17,마음속 깊은 곳에선 꼭 의견이 갈렸다.,心の奥底ではきっと意見が分かれた,Our deepest thoughts inevitably pull us to opposite sides.
s1.18,"하지만, 난 그때 알아차리고 말았다.",でも、私はその時気づいた。,But I realized it then.
s1.19,마음속 깊은 곳보다 더욱 깊은 곳에선,心の奥底よりもさらに奥底では,Even deeper than the depths of our hearts
s1.20,이 남자와 내가 아주 많이 닮았다는 것을,この男と私がとても似ていることを,this man and I were very much alike
s1.21,"소중한 것, 그것을 지키려는 의지",大切なもの、それを守ろうとする意志,"Precious things, the will to protect them"
s1.22,때문에 모든 것을 이룬 다음의 하얀 백지를 이 사내와 같이 나누고 싶다고 생각했다.,だから、すべてを成し遂げた後の白い白紙をこの男と一緒に共有したいと思った。,"Because of that, I wanted to share the blank white page after achieving everything with this man."
s1.23,… … .,… … .,… … .
s1.24,… … … … .,… … … … .,… … … … .
s1.25,아아… .,ああ...。,Ah... .
s1.26,신이시여.,神よ。,Oh God.
s1.27,제 소망을 단 하나만 들어주십시오.,私の願いを一つだけ聞いてください。,Please grant me just one wish.
s1.28,신이시여 … … .,神よ ... ... ... 。,Oh God ... … .
s1.101,"스탬피드, 간만이네",スタンピード、久しぶりだな,"Stampede, it's been a while"
s1.102,아 보러 온기가?,子供に会いに来たのか？,Did you come to see Nicholas?
s1.103,울프우드씨! 안녕하셨어요~?,ウルフウッドさん！こんにちわ～？,Mr. Wolfwood! How have you been?
s1.104,니콜라스군이랑 함께 돌아오셨다고 들었어요! 건강히 돌아오셔서 얼마나 기쁜지 몰라요!,ニコラス君と一緒に帰ってきたって聞いたわよ！元気で戻ってきてくれて本当に嬉しいわ！,I heard you came back with Nico! I'm so happy you returned!
s1.105,실례가 아니면 니콜라스랑 인사를 해도 될까요?,失礼だけど、ニコラスと挨拶してもいいかしら？,Would you mind if I said hello to Nicolas?
s1.106,"하모, 빗자루가 니만 기다렸다 아이가.",そう、トンガリが君を待っていたんだ。,"Yes, Spikey has been waiting only for you."
s1.107,"퍼뜩 드가봐봐라, 아 밥 묵고 있을 기다.",さっさと赤ちゃんの部屋に入りなさい、ニコラスはご飯を食べているよ。,"Go quickly, he's probably nursing right now."
s1.108,감사해요! 울프우드씨!,ありがとう！ウルフウッドさん！,Thank you! Mr. Wolfwood!
s1.109,"왜 자꾸 우는 거야, 니코..",何で泣いてるの、ニッコちゃん。,"Why do you keep crying, Nico.."
s1.110,"우유가 너무 뜨거운가? 흐음, 아닌 것 같은데.. 어떡하지…",牛乳が熱すぎるかな？ うーん、そうでもないような......どうしよう......,"Is the milk too hot? Hmm, doesn't seem like it.. what should I do..."
s1.111,"안녕하세요, 밧슈씨!",こんにちは、芭蕉さん！,"Hello, Vash!"
s1.112,제가 혹시 안 좋은 타이밍에 온 걸까요..?,私、もしかしてタイミングが悪かったのかな...？,Did I come at a bad time..?
s1.113,"아, 스탬피드구나!",あ、スタンピードか！,"Oh, it's Stampede!"
s1.114,"어라, 어라라?",あ、あれれ？,"Huh, huh?"
s1.115,니코가 갑자기 웃잖아?,ニッコが急に笑ってるじゃん？,Nico suddenly smiled!
s1.116,뭐지? 어째서 갑자기 웃어주는 걸까?,何だ、なんで急に笑うんだろう？,What? Why did he suddenly smile?
s1.117,밧슈는 니콜라스와 스탬피드를 번갈아본다.,バシューはニコラスとスタンピードを交互に見る。,Vash looks back and forth between Nicholas and Stampede.
s1.118,… 설마..?,.......まさか......？,... No way..
s1.119,…? (어리둥절하기만 하다),......？ (戸惑うばかり),…? (Just confused)
s1.120,"방금까진 니코가 울상이었는데, 스탬피드를 만나서 기분이 좋은가 봐!",さっきまでニッコは鬱陶しそうだったけど、スタンプピードに会えて気分がいいみたい！,"Just now Nico was crying, but he seems happy to meet you!"
s1.121,정말요? 다행이에요. 니콜라스 군에게 잘 보이고 싶어서 아침부터 꾸몄거든요.,ホント？ よかった。 ニコラス君によく見せたかったから、朝からオシャレしてたんだ。,Really? That's good. I dressed up from the morning because I wanted to look good for Nico.
s1.122,니코군 안녕?,ニコくん、こんにちは！,Hello Nico?
s1.123,니콜라스는 다시 뚱해진 표정으로 스탬피드에게 앙증맞은 손을 뻗는다. 스탬피드와는 초면인데도 할 말이 많은 건지 작은 입도 우물거리면서 옹알인다.,ニコラスはまた太った表情で、スタンプピードに可愛らしく手を差し伸べる。スタンピードとは初対面なのに、言いたいことがたくさんあるのか、小さな口もぐずぐずと喋る。,"Nicholas, with a pouty expression again, reaches out his cute little hand to Stampede. Even though it's his first time meeting Stampede, he seems to have a lot to say as his small mouth moves while babbling."
